Phylum;Class;Order;Family;Species;Known;Abbreviation;Total number of reads;# Spiders before cutoff;# Spiders after cutoff;Size from literature;TaxoSize;Type;Min;Max;Size reference
Animals;Insecta;Diptera;Muscidae;Hydrotaea armipes;yes;hyd.arm;68;7;2;Spec length: 3,75-5,5mm;species;body;3,75;5,5;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Phoridae;Megaselia frameata;yes;meg.fra;68;9;3;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;Mydaea electa;yes;myd.ele;66;5;2;Spec length: 6,25-8mm;species;body;6,25;8;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Heleomyzidae;Heteromyza oculata;yes;het.ocu;65;2;1;Fam length: 1,2-12mm;family;body;1,2;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Hybotidae;Hybos culiciformis;yes;hyb.cul;65;2;1;Spec length: 3,5-5mm;species;body;3,5;5;van der Groot, V. S. (1990) Dansvliegen: determineertabel voor de wat grotere soorten van het geslacht EMPIS in de Benelux. Jeugdbondsuitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;Coenosia testacea;yes;coe.tes;64;6;3;Genus length: 2-6,5mm;genus;body;2;6,5;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Muscidae;Phaonia sp. BOLD:ACR2310;no;pha.ACR2310;64;1;1;Genus length: 4,75-12mm;genus;body;4,75;12;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Coleoptera;Carabidae;Loricera pilicornis;yes;lor.pil;63;6;2;Spec length: 6-8,5mm;species;body;6;8,5;Boeken, M., Desender, K., Drost, B., van Gijzen, T., Koese, B., Muilwijk, J., Turin, H. & Vermeulen, R. J. (2002) De loopkevers van Nederland & Vlaanderen (Coleoptera: Carabidae). Stichting Jeugdbondsuitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;Phoridae sp. BOLD:ABA6994;no;pho.ABA6994;63;5;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Staphylinidae;Atheta sp. BOLD:ACQ9400;no;ath.ACQ9400;62;6;1;Genus length: 1-5mm;genus;body;1;5;Freude, H., Harde, K. W. & Lohse, G. A. (1974) Die Käfer Mitteleuropas, Bd. 5: Staphylinidae II (Hypocyphlinae und Aleocharinae), Pselaphidae. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Hemiptera;Aphidoidae;Drepanosiphum platanoidis;yes;dre.pla;62;10;1;Spec length: 3,2-4,3mm;species;body;3,2;4,3;Stroyan, H. L. G. (1977) Homoptera – Aphidoidea (Part) – Chaitophoridae & Callaphididae, Handbooks for the Identification of British Insects Vol. 2 Part IV (a). Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Drosophilidae;Drosophila funebris;yes;dro.fun;61;3;1;Fam length: 1,5-7mm;family;body;1,5;7;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sciaridae;Xylosciara heptacantha;yes;xyl.hep;61;6;4;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Syrphidae;Baccha sp. BOLD:ABA3006;no;bac.ABA3006;61;4;1;Genus length: 7-10,5mm;genus;body;7;10,5;Barendregt, A.(1991) Zweefvliegentabel. Achtste druk. Jeugdbondsuitgeverij, Utrecht, 92 pp.
Animals;Insecta;Diptera;Fanniidae;Fannia incisurata;yes;fan.inc;60;8;1;Fam length: 2-5mm;family;body;2;5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;Hydrotaea floccosa;yes;hyd.flo;60;4;1;Genus length: 3-9mm;genus;body;3;9;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Lepidoptera;Drepanidae;Thyatira batis;yes;thy.bat;60;3;1;Spec vvl: 16-19mm;species;forewing;16;19;Waring, P. & Townsend, M. (2015) Nachtvlinders: de nieuwe veldgids voor Nederland en België. Kosmos Uitgevers, Utrecht/Antwerpen.
Animals;Insecta;Diptera;Phoridae;Megaselia tarsalis;yes;meg.tar;59;4;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;Metopina oligoneura;yes;met.oli;59;4;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Arachnida;Araneae;Araneidae;Gibbaranea gibbosa;yes;gib.gib;58;3;1;Spec length F: 5-6mm, M:4-5mm;species;body;4;6;Roberts, M.J. (1985) The Spiders of Great Britain and Ireland, Vol. I. Harley Books, Colchester, UK.
Animals;Insecta;Diptera;Opetiidae;Opetia nigra;yes;ope.nig;58;6;2;Fam length: 2-5mm;family;body;2;5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Itoplectis alternans;yes;ito.alt;58;5;2;Spec vvl: 2,7-8,5mm;species;wing;2,7;8,5;Fitton, M. G., Shaw, M. R. & Gauld, I. D. (1988) Hymenoptera Ichneumonoidae (Pimplinae), Handbooks for the Identification of British Insects Vol. 7 Part I. Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Culicidae;Aedes impiger;yes;aed.imp;57;5;1;Fam length: 3-9mm;family;body;3;9;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Dolichopodidae;Rhaphium appendiculatum;yes;rha.app;57;7;4;Fam length: 1-9mm;family;body;1;9;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;Borophaga femorata;yes;bor.fem;57;12;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Endromopoda detrita;yes;end.det;57;2;1;Spec vvl: 4-8mm;species;wing;4;8;Fitton, M. G., Shaw, M. R. & Gauld, I. D. (1988) Hymenoptera Ichneumonoidae (Pimplinae), Handbooks for the Identification of British Insects Vol. 7 Part I. Royal Entomological Society of London, London, UK.
Animals;Insecta;Coleoptera;Nitidulidae;Cychramus variegatus;yes;cyc.var;56;3;1;Spec length: 5-7mm;species;body;5;7;Freude, H., Harde, K. W. & Lohse, G. A. (1967) Die Käfer Mitteleuropas, Bd. 7: Clavicornia. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Sphaeroceridae;Sphaeroceridae sp.;yes;sph.sp.;56;9;2;Fam length: 0,7-5,5mm;family;body;0,7;5,5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;Musca autumnalis;yes;mus.aut;55;2;1;Spec length: 6,25-7,75mm;species;body;6,25;7,75;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Pseudopomyzidae;Pseudopomyza atrimana;yes;pse.atr;55;4;2;Fam length:1,7-2,5mm;family;body;1,7;2,5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Cecidomyiidae;CecidInt44 sp. BOLD:ACE8241;no;cec.ACE8241;54;5;2;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sciaridae;Bradysia edwardsi;yes;bra.edw;54;3;1;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Neuroptera;Hemerobiidae;Micromus variegatus;yes;mic.var;54;4;1;Genus length: 11-15mm;genus;body;11;15;Fraser, F. C. (1959) Mecoptera Megaloptera Neuroptera, Handbooks for the Identification of British Insects Vol. 1 Parts XII and XIII. Royal Entomological Society of London, London, UK.
Animals;Arachnida;Araneae;Linyphiidae;Hilaira vexatrix;yes;hil.vex;53;5;1;Fam length: 2,25-5,3mm;family;body;2,25;5,3;Roberts, M.J. (1985) The Spiders of Great Britain and Ireland, Vol. II. Harley Books, Colchester, UK.
Animals;Insecta;Diptera;Anthomyiidae;Pegomya transgressa;yes;peg.tra;53;5;1;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Fanniidae;Fannia vesparia ;yes;fan.ves;53;4;1;Fam length: 2-5mm;family;body;2;5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Chironomidae;Macropelopia notata;yes;mac.not;52;3;1;Fam length: 1-10mm;family;body;1;10;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;PhorIntGen73 sp. BOLD:ACR4289;no;pho.ACR4289;52;7;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Lepidoptera;Geometridae;Plagodis pulveraria;yes;plag.pul;52;2;1;Spec vvl: 17-19mm;species;forewing;17;19;Waring, P. & Townsend, M. (2015) Nachtvlinders: de nieuwe veldgids voor Nederland en België. Kosmos Uitgevers, Utrecht/Antwerpen.
Animals;Insecta;Diptera;Fanniidae;Fannia coracina ;yes;fan.cor;50;12;1;Fam length: 2-5mm;family;body;2;5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;Phoridae sp. BOLD:ACU7299;no;pho.ACU7299;50;2;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Psychodidae;Trichopsychoda hirtella;yes;tri.hir;50;2;1;Fam length: 2-6mm;family;body;2;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sciaridae;Ctenosciara hyalipennis;yes;cte.hya;50;1;1;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Staphylinidae;Quedius cinctus;yes;que.cin;49;4;2;Spec length: 7,5-8,5mm;species;body;7,5;8,5;Freude, H., Harde, K. W. & Lohse, G. A. (1964) Die Käfer Mitteleuropas, Bd. 4: Staphylinidae I (Micropeplinae bis Tachyporinae). Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Cecidomyiidae;CecidInt14 sp. BOLD:ACF9301;no;cec.ACF9301;49;5;2;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;Megaselia affinis;yes;meg.aff;49;2;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sphaeroceridae;Minilimosina parva;yes;min.par;49;4;1;Fam length: 0,7-5,5mm;family;body;0,7;5,5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Staphylinidae;Atheta nigripes;yes;ath.nig;48;7;1;Spec length: 2,4-3mm;species;body;2,4;3;Freude, H., Harde, K. W. & Lohse, G. A. (1974) Die Käfer Mitteleuropas, Bd. 5: Staphylinidae II (Hypocyphlinae und Aleocharinae), Pselaphidae. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Chloropidae;Oscinella sp. BOLD:ACX3175;no;osc.ACX3175;48;3;1;Fam lenght: 1-4mm;family;body;1;4;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Limoniidae;Neolimnophila placida ;yes;neo.pla;48;4;1;Fam length: 2-11mm;family;body;2;11;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Plectiscus impurator;yes;ple.imp;48;14;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Diptera;Clusiidae;Clusiodes albimanus;yes;clu.alb;47;5;3;Fam length:1,5-8mm;family;body;1,5;8;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;Mydaea new sp. nr urbana;yes;myd.urb;47;3;1;Spec length: 7,75-9,5mm;species;body;7,75;9,5;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Coleoptera;Leiodidae;Apocatops nigrita;yes;apo.nig;46;9;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Diptera;Phoridae;PhorIntGen14 sp. BOLD:ACG4325;no;pho.ACG4325;46;4;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Anthomyiidae;Pegomya testacea;yes;peg.tes;45;6;2;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Cecidomyiidae;Campylomyza flavipes;yes;cam.fla;45;3;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Chironomidae;Chironomidae sp. BOLD:ACO8440;no;chi.ACO8440;45;4;1;Fam length: 1-10mm;family;body;1;10;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Limoniidae;Pseudolimnophila sepium;yes;pse.sep;45;1;1;Fam length: 2-11mm;family;body;2;11;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;NA;Diptera sp.;no;dip.sp.;45;5;1;NA;NA;NA;NA;NA;Impossible
Animals;Insecta;Hymenoptera;Ichneumonidae;Syrphoctonus cf. tarsatorius;yes;syr.tar;45;2;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Lepidoptera;Nymphalidae;Boloria sp. BOLD:AAA3398;no;bol.AAA3398;45;13;1;Genus vvl: 16-21mm;genus;forewing;16;21;Higgins, L. G. & Riley, N. D. (1980) Field Guide to the Butterflies of Britain and Europe. 4th edn, Collins, London
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp. BOLD:ACX2138;no;cec.ACX2138;44;2;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Lepidoptera;Gracillariidae;Caloptilia alchimiella;yes;cal.alc;44;3;2;Spec vvl 5-7mm;species;forewing;5;7;Stirling, P., Parsons, M. & Lewington, R. ( 2012) Field guide to the Micro-Moths of Great Britain and Ireland. Britsh Wildlife Publishing, Gillingham.
Animals;Insecta;Diptera;Dolichopodidae;Gymnopternus metallicus;yes;gym.met;43;1;1;Fam length: 1-9mm;family;body;1;9;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;PhorIntGen6 sp. BOLD:ACF6985;no;pho.ACF6985;43;3;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Ceratopogonidae;Forcipomyia nigra;yes;forc.nig;42;7;2;Fam length: 1-5mm;family;body;1;5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Phobocampe sp. BOLD:ACR4523;no;pho.ACR4523;42;3;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp. BOLD:ACU9751;no;cec.ACU9751;41;6;2;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Dolichopodidae;Xanthochlorus tenellus;yes;xan.ten;41;7;2;Fam length: 1-9mm;family;body;1;9;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Keroplatidae;Neoplatyura nigricauda;yes;neo.nig;41;1;1;Fam length: 4-15mm;family;body;4;15;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sciaridae;Corynoptera perpusilla;yes;cor.per;41;6;2;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Tachinidae;Linnaemya picta;yes;lin.pic;41;4;1;Genus length: 9-12mm;genus;body;9;12;Zeegers, T. (1992) Tabel voor de grotere sluipvliegen en horzels van Nederland. Jeugdbondsuitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Liotryphon caudatus;yes;lio.cau;41;3;1;Spec vvl: 3,6-8,5mm;species;wing;3,6;8,5;Fitton, M. G., Shaw, M. R. & Gauld, I. D. (1988) Hymenoptera Ichneumonoidae (Pimplinae), Handbooks for the Identification of British Insects Vol. 7 Part I. Royal Entomological Society of London, London, UK.
Animals;Insecta;Lepidoptera;Ypsolophidae;Ypsolopha parenthesella;yes;yps.par;41;3;1;Spec vvl: 7-9mm;species;forewing;7;9;Stirling, P., Parsons, M. & Lewington, R. ( 2012) Field guide to the Micro-Moths of Great Britain and Ireland. Britsh Wildlife Publishing, Gillingham.
Animals;Insecta;Coleoptera;Carabidae;Dromius quadrimaculatus;yes;dro.qua;40;1;1;Spec length: 4,7-6,4mm;species;body;4,7;6,4;Boeken, M., Desender, K., Drost, B., van Gijzen, T., Koese, B., Muilwijk, J., Turin, H. & Vermeulen, R. J. (2002) De loopkevers van Nederland & Vlaanderen (Coleoptera: Carabidae). Stichting Jeugdbondsuitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Leiodidae;Sciodrepoides watsoni;yes;sci.wat;40;2;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Coleoptera;Phalacridae;Olibrus aeneus;yes;oli.aen;40;5;1;Spec length: 2-2,5mm;species;body;2;2,5;Freude, H., Harde, K. W. & Lohse, G. A. (1967) Die Käfer Mitteleuropas, Bd. 7: Clavicornia. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Hybotidae;Platypalpus pulicarius;yes;pla.pul;40;3;1;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sphaeroceridae;SphaerocerIntGen29 sp. BOLD:ACX3181;no;sph.ACX3181;40;4;1;Fam length: 0,7-5,5mm;family;body;0,7;5,5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Syrphidae;Platycheirus speighti;yes;pla.spe;40;7;1;Genus length: 5-10mm;genus;body;5;10;van Veen, M. P. (2004) Hoverflies of Northwest Europe: Identification keys to the Syrphidae. KNNV Publishing, Zeist.
Animals;Insecta;Diptera;Anthomyiidae;Pegomya sp. BOLD:AAL0165;no;peg.AAL0165;39;2;1;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Chironomidae;Bryophaenocladius sp. 4ES;no;bry.4ES;39;2;2;Fam length: 1-10mm;family;body;1;10;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
