Phylum;Class;Order;Family;Species;Known;Abbreviation;Total number of reads;# Spiders before cutoff;# Spiders after cutoff;Size from literature;TaxoSize;Type;Min;Max;Size reference
Animals;Insecta;Hemiptera;Cicadellidae;Fagocyba douglasi;yes;fag.dou;39;6;2;Genus length: 3,4-4,3mm;genus;body;3,4;4,3;Le Quesne, W. J. & Payne, K. R. (1981) Cicadellidae (Typhlocybinae) with a checklist of the Britisch Auchenorhyncha (Hemiptera, Homoptera), Handbooks for the Identification of British Insects Vol. 2 Part II (c). Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Phoridae;Phoridae sp. BOLD:AAG3269;no;pho.AAG3269;37;2;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Psychodidae;Psychoda trinodulosa;yes;psy.tri;37;3;1;Fam length: 2-6mm;family;body;2;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Staphylinidae;Othius myrmecophilus;yes;oth.myr;36;3;1;Spec length: 4,5-5mm;species;body;4,5;5;Freude, H., Harde, K. W. & Lohse, G. A. (1964) Die Käfer Mitteleuropas, Bd. 4: Staphylinidae I (Micropeplinae bis Tachyporinae). Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Cecidomyiidae;CecidInt34 sp. BOLD:ACB9757;no;cec.ACB9757;36;8;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Mycetophilidae;Allodia lugens;yes;all.lug;36;3;1;Fam length: 4-8mm;family;body;4;8;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Calliphoridae;Bellardia viarum;yes;bel.via;35;3;2;Fam length: 4-16mm;family;body;4;16;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Cecidomyiidae;CecidInt38 sp. BOLD:ACC5872;no;cec.ACC5872;35;7;2;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Cecidomyiidae;CecidInt52 sp. BOLD:ADE1424;no;cec.ADE1424;35;2;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Hybotidae;Tachypeza nubila;yes;tac.nub;35;1;1;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;PhorIntGen52 sp. BOLD:ACQ8620;no;pho.ACQ8620;35;3;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Staphylinidae;Anotylus rugosus;yes;ano.rug;34;11;1;Spec length: 4,5-5,5mm;species;body;4,5;5,5;Freude, H., Harde, K. W. & Lohse, G. A. (1964) Die Käfer Mitteleuropas, Bd. 4: Staphylinidae I (Micropeplinae bis Tachyporinae). Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Calliphoridae;Pollenia pediculata;yes;pol.ped;34;2;1;Genus length: 4,7-11mm;genus;body;4,7;11;van Emden, F. I. (1954) Diptera – Cyclorrhapha Calyptrata (1) Section (a), Handbooks for the Identification of British Insects Vol. 10 Part IV (a). Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Sciaridae;Mouffetina pulchricornis;yes;mou.pul;34;6;1;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sphaeroceridae;Spelobia clunipes;yes;spe.clu;34;3;1;Fam length: 0,7-5,5mm;family;body;0,7;5,5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Chrysomelidae;Longitarsus melanocephalus;yes;lon.mel;33;9;1;Spec Length: 2-3mm;species;body;2;3;Freude, H., Harde, K. W. & Lohse, G. A. (1966) Die Käfer Mitteleuropas, Bd. 9: Cerambycidae Chrysomelidae. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp. BOLD:ACP5594;no;cec.ACP5594;33;3;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Chironomidae;Chironomidae sp.BOLD:ACK8164;no;chi.ACK8164;33;2;1;Fam length: 1-10mm;family;body;1;10;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Syrphidae;Syrphus ribesii;yes;syr.rib;33;3;2;Spec length: 10-12mm;species;body;10;12;van Veen, M. P. (2004) Hoverflies of Northwest Europe: Identification keys to the Syrphidae. KNNV Publishing, Zeist.
Animals;Insecta;Diptera;Sciaridae;Zygoneura sciarina;yes;zyg.sci;32;6;1;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Lepidoptera;Noctuidae;Pachetra sagittigera;yes;pac.sag;32;2;1;Spec vvl: 17-20mm;species;forewing;17;20;Waring, P. & Townsend, M. (2015) Nachtvlinders: de nieuwe veldgids voor Nederland en België. Kosmos Uitgevers, Utrecht/Antwerpen.
Animals;Arachnida;Araneae;Linyphiidae;Tenuiphantes tenuis;yes;ten.ten;31;2;1;Spec length: 2-2,5mm;species;body;2;2,5;Vink, C. J. & Kean, J. M. (2013) PCR gut analysis reveals that Tneuiphantes tenuis ( Araneae: Linyphiidae) is apotentially significant predator of Argentine stem weevil, Listronotus bonariensis (Coleoptera: Curculionidae), in New Zealand pastures. New Zealand Journal of Zoology 40:304-313.
Animals;Insecta;Diptera;Chironomidae;Smittia leucopogon;yes;smi.leu;31;2;1;Fam length: 1-10mm;family;body;1;10;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sphaeroceridae;Spelobia rufilabris;yes;spe.ruf;31;4;1;Fam length: 0,7-5,5mm;family;body;0,7;5,5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Staphylinidae;Gnypeta ripicola;yes;gny.rip;30;3;1;Spec length: 2,8-3,5mm;species;body;2,8;3,5;Freude, H., Harde, K. W. & Lohse, G. A. (1974) Die Käfer Mitteleuropas, Bd. 5: Staphylinidae II (Hypocyphlinae und Aleocharinae), Pselaphidae. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Mycetophilidae;Mycomya cinerascens;yes;myc.cin;30;5;2;Fam length: 4-8mm;family;body;4;8;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;PhorIntGen111 sp. BOLD:ACY6338;no;pho.ACY6338;30;3;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sciaridae;Corynoptera tetrachaeta;yes;cor.tet;30;8;0;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Staphylinidae;Calodera aethiops;yes;cal.aet;29;5;2;Spec length: 2-2,5mm;species;body;2;2,5;Freude, H., Harde, K. W. & Lohse, G. A. (1974) Die Käfer Mitteleuropas, Bd. 5: Staphylinidae II (Hypocyphlinae und Aleocharinae), Pselaphidae. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Cecidomyiidae;CecidInt11 sp. BOLD:ACU9439;no;cec.ACU9439;29;1;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Culicidae;Aedes cantans;yes;aed.can;29;1;1;Fam length: 3-9mm;family;body;3;9;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;Phoridae sp. BOLD:ACO7890;no;pho.ACO7890;29;2;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Scathophagidae;Norellisoma spinimanum;yes;nor.spi;29;2;1;Fam length: 3-12mm;family;body;3;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Syrphidae;Chalcosyrphus nemorum;yes;cha.nem;29;4;1;Spec length: 7-8,5mm;species;body;7;8,5;Barendregt, A.(1991) Zweefvliegentabel. Achtste druk. Jeugdbondsuitgeverij, Utrecht, 92 pp.
Animals;Insecta;Diptera;Syrphidae;Platycheirus varipes;yes;pla.var;29;3;1;Spec length: 7-9mm;species;body;7;9;van Veen, M. P. (2004) Hoverflies of Northwest Europe: Identification keys to the Syrphidae. KNNV Publishing, Zeist.
Animals;Insecta;Hymenoptera;Tenthredinidae;Cladius brullei;yes;cla.bru;29;3;1;Genus length: 5-7mm;genus;body;5;7;Benson, R. B. (1952) Hymenoptera Symphyta, Handbooks for the Identification of British Insects Vol. 6 Part II (a). Royal Entomological Society of London, London, UK.
Animals;Insecta;Coleoptera;Staphylinidae;Quedius invreae;yes;que.inv;28;2;1;Spec length: 8-11mm;species;body;8;11;Freude, H., Harde, K. W. & Lohse, G. A. (1964) Die Käfer Mitteleuropas, Bd. 4: Staphylinidae I (Micropeplinae bis Tachyporinae). Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Anthomyiidae;Pegomya fulgens;yes;peg.ful;28;2;1;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sciaridae;Corynoptera sp. BOLD:ACX2976;no;cor.ACX2976;28;1;1;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sepsidae;Sepsis punctum;yes;sep.pun;28;3;1;Fam length: 2-6mm;family;body;2;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sphaeroceridae;Sphaeroceridae sp. BOLD:ACP2759;no;sph.ACP2759;28;4;1;Fam length: 0,7-5,5mm;family;body;0,7;5,5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Casinaria pyreneator;yes;cas.pyr;28;2;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Hymenoptera;Ichneumonidae;Plectiscidea collaris;yes;ple.col;28;1;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Diptera;Psychodidae;Psychoda setigera;yes;psy.set;27;1;1;Fam length: 2-6mm;family;body;2;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sarcophagidae;Sarcophaga haemorrhoa;yes;sar.hae;27;4;1;Fam length: 3-22mm;family;body;3;22;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Cryptus arcticus;yes;cry.arc;27;2;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Lepidoptera;Tortricidae;Bactra lancealana;yes;bac.lan;27;2;1;Spec vvl 5-10mm;species;forewing;5;10;Stirling, P., Parsons, M. & Lewington, R. ( 2012) Field guide to the Micro-Moths of Great Britain and Ireland. Britsh Wildlife Publishing, Gillingham.
Animals;Insecta;Coleoptera;Staphylinidae;Amischa decipiens;yes;ami.dec;26;6;1;Spec length: 2-2,2mm;species;body;2;2,2;Freude, H., Harde, K. W. & Lohse, G. A. (1974) Die Käfer Mitteleuropas, Bd. 5: Staphylinidae II (Hypocyphlinae und Aleocharinae), Pselaphidae. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Dolichopodidae;Dolichopodidae sp. ;yes;dol.sp.;26;2;1;Fam length: 1-9mm;family;body;1;9;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Drosophilidae;Drosophila littoralis;yes;dro.lit;26;1;1;Fam length: 1,5-7mm;family;body;1,5;7;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Ephydridae;Ephyridae sp. BOLD:ABV9420;no;eph.ABV9420;26;4;1;Fam length: 1-12mm;family;body;1;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Mycetophilidae;Boletina pallidula;yes;bol.pal;26;3;1;Fam length: 4-8mm;family;body;4;8;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Lepidoptera;Noctuidae;Craniophora ligustri;yes;cra.lig;26;2;1;Spec vvl: 17-19mm;species;forewing;17;19;Waring, P. & Townsend, M. (2015) Nachtvlinders: de nieuwe veldgids voor Nederland en België. Kosmos Uitgevers, Utrecht/Antwerpen.
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp. BOLD:ABV0499;no;cec.ABV0499;25;1;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;Lispocephala erythrocera;yes;lis.ery;25;3;1;Spec length: 2,75-4mm;species;body;2,75;4;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Hemiptera;Aphrophoridae;Aphrophora sp. BOLD:ACR5174;no;aph.ACR5174;25;13;0;Genus length: 8,6-12mm;genus;body;8,6;12;Le Quesne, W. J. (1965) Hemiptera – Cicadomorpha (excluding Deltocephalinae and Typhlocybinae), Handbooks for the Identification of British Insects Vol. 2 Part II (a). Royal Entomological Society of London, London, UK.
Animals;Insecta;Lepidoptera;Erebidae;Eilema griseola;yes;eil.gri;25;3;1;Spec vvl: 15-18mm;species;forewing;15;18;Waring, P. & Townsend, M. (2015) Nachtvlinders: de nieuwe veldgids voor Nederland en België. Kosmos Uitgevers, Utrecht/Antwerpen.
Animals;Insecta;Lepidoptera;Geometridae;Ectropis crepuscularia;yes;ect.cre;25;3;1;Spec vvl: 15-22mm;species;forewing;15;22;Waring, P. & Townsend, M. (2015) Nachtvlinders: de nieuwe veldgids voor Nederland en België. Kosmos Uitgevers, Utrecht/Antwerpen.
Animals;Insecta;Coleoptera;Coccinellidae;Calvia quatuordecimguttata;yes;cal.qua;24;2;1;Spec length: 4,5-6mm;species;body;4,5;6;Freude, H., Harde, K. W. & Lohse, G. A. (1967) Die Käfer Mitteleuropas, Bd. 7: Clavicornia. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Diadocidiidae;Diadocidia ferruginosa;yes;dia.fer;24;8;0;Fam length: 3-4,5mm;family;body;3;4,5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;MuscidaeIntGen51 sp. BOLD:ACR3383;no;mus.ACR3383;24;1;1;Fam length: 2-18mm;family;body;2;18;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;Myospila lauta;yes;myo.lau;24;11;1;Genus length: 6-7,5mm;genus;body;6;7,5;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Hymenoptera;Ichneumonidae;Promethes sulcator;yes;pro.sul;24;1;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Diptera;Anthomyiidae;Paradelia brunneonigra;yes;par.bru;23;2;1;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Cecidomyiidae;CecidInt14 sp. BOLD:ACG3846;no;cec.ACG3846;23;10;0;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;Megaselia bifida;yes;meg.bif;23;2;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;Megaselia sp. BOLD:AAP2490;no;meg.AAP2490;23;1;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Xorides praecatorius;yes;xor.pra;23;4;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Coleoptera;Staphylinidae;Gyrohypnus angustatus;yes;gyr.ang;22;10;0;Spec length: 5,5-7mm;species;body;5,5;7;Freude, H., Harde, K. W. & Lohse, G. A. (1964) Die Käfer Mitteleuropas, Bd. 4: Staphylinidae I (Micropeplinae bis Tachyporinae). Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp. BOLD:AAM6047;no;cec.AAM6047;22;5;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp. BOLD:ABV9351;no;cec.ABV9351;22;2;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Tachinidae;Peleteria aenea;yes;pel.aen;22;2;1;Genus length: 10-14mm;genus;body;10;14;Zeegers, T. (1992) Tabel voor de grotere sluipvliegen en horzels van Nederland. Jeugdbondsuitgeverij, Utrecht.
Animals;Insecta;Lepidoptera;Tischeriidae;Tischeria ekebladella;yes;tis.eke;22;2;1;Spec vvl 3,5-5mm;species;forewing;3,5;5;Stirling, P., Parsons, M. & Lewington, R. ( 2012) Field guide to the Micro-Moths of Great Britain and Ireland. Britsh Wildlife Publishing, Gillingham.
Animals;Insecta;Coleoptera;Hydraenidae;Hydraena hernandoi;yes;hyd.her;21;1;1;Genus length: 1,6-2,7;genus;body;1,6;2,7;Freude, H., Harde, K. W. & Lohse, G. A. (1971) Die Käfer Mitteleuropas, Bd. 3: Adephaga (2) Palpicornia, Histeroidea, Staphylionidea. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Agromyzidae;Phytomyza chaerophylli;yes;phy.cha;21;1;1;Spec vl length: 1,8-2,1mm;species;wing;1,8;2,1;Spencer, K. Q. (1972) Diptera - Agromyzidae, Handbooks for the Identification of British Insects Vol. 10 Part V (g). Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp.BOLD:ACP9220;no;cec.ACP9220;21;5;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Pipunculidae;Cephalops ultimus;yes;cep.ult;21;3;1;Spec VL: 4-5mm;species;wing;4;5;Coe, R. l. (1966) Diptera - Pipunculidae, Handbooks for the Identification of British Insects Vol. 10 Part II (c) Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Sciaridae;Bradysia pallipes;yes;bra.pal;21;4;1;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sphaeroceridae;Leptocera finalis;yes;lep.fin;21;7;1;Fam length: 0,7-5,5mm;family;body;0,7;5,5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Tachinidae;Stomina tachinoides ;yes;sto.tac;21;3;1;Fam length: 2-20mm;family;body;2;20;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Braconidae;Falciconus pseudoplatani;yes;fal.pse;21;3;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Lepidoptera;Tortricidae;Cydia splendana;yes;cyd.spl;21;2;1;Spec vvl 7-10mm;species;forewing;7;10;Stirling, P., Parsons, M. & Lewington, R. ( 2012) Field guide to the Micro-Moths of Great Britain and Ireland. Britsh Wildlife Publishing, Gillingham.
Animals;Insecta;Coleoptera;Carabidae;Pterostichus niger;yes;pte.nig;20;4;1;Spec length: 15-21mm;species;body;15;21;Boeken, M., Desender, K., Drost, B., van Gijzen, T., Koese, B., Muilwijk, J., Turin, H. & Vermeulen, R. J. (2002) De loopkevers van Nederland & Vlaanderen (Coleoptera: Carabidae). Stichting Jeugdbondsuitgeverij, Utrecht.
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp. BOLD:ACV0652;no;cec.ACV0652;20;2;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Ceratopogonidae;Forcipomyia nigrans;yes;for.nig;20;6;0;Fam length: 1-5mm;family;body;1;5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
